index,table                 ,table_count,id        ,name                   ,shape
1    ,bazhoupois_admin      ,1          ,B03E40MFZ2,巴音郭楞蒙古自治州人力资源和社会保障局    ,"86.139105,41.768553;86.147375,41.767666;86.149062,41.768668;86.14824,41.761364;86.148497,41.760886;86.140304,41.76882;86.139105,41.768553"
2    ,bazhoupois_admin      ,2          ,B03E40MHE7,包尔海乡政府                 ,"86.439105,42.005263;86.444835,42.006789;86.444849,42.014037;86.445185,42.008541;86.439105,42.005263"
3    ,bazhoupois_admin      ,3          ,B03E40021A,且末县人民政府                ,"85.532489,38.15079;85.526793,38.149229;85.528009,38.148998;85.534654,38.148998;85.527396,38.149022;85.526049,38.14175;85.526049,38.147642;85.533459,38.140715;85.525267,38.141758;85.532676,38.141758;85.532489,38.15079"
4    ,bazhoupois_hospital   ,1          ,B03E40066T,新疆生产建设兵团第二师库尔勒医院       ,"86.127495,41.769011;86.120675,41.769409;86.129876,41.776381;86.127884,41.776649;86.122466,41.769219;86.125749,41.776745;86.127495,41.769011"
5    ,bazhoupois_hospital   ,2          ,B03E40088K,巴音郭楞蒙古自治州人民医院          ,"86.147233,41.765885;86.155037,41.765579;86.153276,41.765041;86.146587,41.765852;86.145285,41.766587;86.152287,41.765189;86.147233,41.765885"
6    ,bazhoupois_hospital   ,3          ,B03E4001GO,若羌县人民医院                ,"88.166786,39.027206;88.168168,39.020405;88.167774,39.01935;88.166298,39.020532;88.173605,39.026951;88.174444,39.026679;88.166786,39.027206"
7    ,bazhoupois_hospital   ,4          ,B03E40MHIN,巴州燕赵蒙医院                ,"86.191789,41.718629;86.192631,41.725112;86.198693,41.719283;86.20012,41.720379;86.191789,41.718629"
8    ,bazhoupois_hospital   ,5          ,B03E400B44,农二师惠民医院                ,"86.138078,41.784406;86.142055,41.776724;86.137682,41.78522;86.136569,41.777678;86.138078,41.784406"
9    ,bazhoupois_hospital   ,6          ,B03E4007HP,天山医院                   ,"86.145261,41.774902;86.137309,41.773529;86.14493,41.76832;86.137323,41.774088;86.145261,41.774902"
10   ,bazhoupois_hospital   ,7          ,B03E400C3K,库尔勒市第一人民医院             ,"86.142239,41.744303;86.138786,41.745733;86.13873,41.736923;86.139222,41.745815;86.144958,41.738093;86.143739,41.744134;86.14703,41.742876;86.147035,41.7441;86.147007,41.744116;86.141152,41.74374;86.146703,41.74359;86.148927,41.7354;86.142239,41.744303"
11   ,bazhoupois_hospital   ,8          ,B0FFF5L9XB,兵团农二师医院综合门诊部           ,"86.141789,41.763402;86.134138,41.764828;86.143144,41.757983;86.137168,41.765614;86.136848,41.764732;86.134658,41.764219;86.142479,41.756605;86.14127,41.7639;86.140314,41.763937;86.141203,41.763979;86.141789,41.763402"
12   ,bazhoupois_hospital   ,9          ,B03E4005V9,轮台县人民医院                ,"84.258159,41.769958;84.259105,41.779019;84.256409,41.771505;84.250603,41.776937;84.258041,41.777565;84.256533,41.777979;84.258159,41.769958"
13   ,bazhoupois_hospital   ,10         ,B03E400D1H,库尔勒市第二人民医院             ,"86.190879,41.740925;86.191576,41.733519;86.200698,41.740039;86.199638,41.740763;86.198881,41.741789;86.202471,41.740888;86.201259,41.733049;86.199626,41.742314;86.190879,41.740925"
14   ,bazhoupois_hospital   ,11         ,B03E4007XD,库尔勒市妇幼保健院              ,"86.149162,41.763937;86.15619,41.763529;86.15798,41.768706;86.148859,41.768738;86.149162,41.763937"
15   ,bazhoupois_hospital   ,12         ,B03E400EP8,且末县人民医院                ,"85.536957,38.138643;85.527918,38.137776;85.537046,38.137954;85.538852,38.131221;85.537164,38.140989;85.536501,38.131299;85.534766,38.14011;85.536957,38.138643"
16   ,bazhoupois_hospital   ,13         ,B03E4002SV,和硕县人民医院                ,"86.868187,42.264651;86.86845,42.259767;86.87055,42.264521;86.862255,42.257335;86.862577,42.266682;86.868832,42.266682;86.870531,42.266056;86.864343,42.260802;86.86374,42.260483;86.869316,42.261421;86.868156,42.258587;86.869453,42.26587;86.868187,42.264651"
17   ,bazhoupois_hospital   ,14         ,BY00000C9C,和静协和医院                 ,"86.378132,42.323057;86.380744,42.322593;86.388252,42.322356;86.385959,42.317944;86.378132,42.323057"
18   ,bazhoupois_hospital   ,15         ,B03E400DRV,尉犁县人民医院                ,"86.270103,41.337557;86.271973,41.344119;86.268958,41.338134;86.270077,41.344991;86.26922,41.344294;86.268797,41.344605;86.260796,41.338837;86.270103,41.337557"
19   ,bazhoupois_hospital   ,16         ,B03E4004RA,博湖县人民医院                ,"86.63785,41.971621;86.638319,41.979342;86.634293,41.97084;86.639398,41.973415;86.63785,41.971621"
20   ,bazhoupois_hospital   ,17         ,B03E40M7YM,焉耆回族自治县人民医院            ,"86.575263,42.05898;86.57446,42.065237;86.575531,42.067544;86.577704,42.066054;86.578578,42.059375;86.575263,42.05898"
21   ,bazhoupois_hospital   ,18         ,B03E400CM3,新疆晨帆中医院                ,"86.238419,41.712143;86.241206,41.720449;86.24207,41.716939;86.239144,41.709453;86.238419,41.712143"
